timestamp,rr
1622960262307,640,394796
1622960263286,645,395436
1622960263931,639,396081
1622960264268,634,396720
1622960264902,633,397354
1622960265273,628,397987
1622960266262,623,398615
1622960266885,610,399238
1622960267239,620,399848
1622960268227,626,400468
1622960268853,630,401094
1622960269216,638,401724
1622960270252,653,402362
1622960270905,663,403015
1622960272193,662,403678
1622960272212,667,404340
1622960272879,668,405007
1622960273181,660,405675
1622960273841,654,406335
1622960274172,647,406989
1622960275157,639,407636
1622960275796,637,408275
1622960276148,630,408912
1622960277139,633,409542
1622960277772,637,410175
1622960278130,636,410812
1622960279119,653,411448
1622960279772,659,412101
1622960280110,660,412760
1622960281100,662,413420
1622960281762,658,414082
1622960282090,655,414740
1622960283080,648,415395
1622960283728,644,416043
1622960284069,645,416687
1622960284714,641,417332
1622960286053,634,417973
1622960286068,628,418607
1622960286696,625,419235
1622960287040,625,419860
1622960288036,621,420485
1622960288657,620,421106
1622960289023,621,421726
1622960289644,618,422347
1622960290010,622,422965
1622960291001,623,423587
1622960291624,621,424210
1622960292491,624,424831
1622960293115,613,425455
1622960293475,605,426068
1622960294463,604,426673
1622960295067,605,427277
1622960295452,611,427882
1622960296447,603,428493
1622960297050,603,429096
1622960297442,606,429699
1622960298048,600,430305
1622960298432,597,430905
1622960299029,593,431502
1622960299424,594,432095
1622960300410,597,432689
1622960301007,598,433286
1622960301395,600,433884
1622960302389,600,434484
1622960302989,606,435084
1622960303374,604,435690
1622960303978,611,436294
1622960304371,609,436905
1622960305360,615,437514
1622960305975,627,438129
1622960306346,633,438756
1622960306979,637,439389
1622960307333,633,440026
1622960308331,637,440659
1622960308968,640,441296
1622960309315,646,441936
1622960310305,640,442582
1622960310945,642,443222
1622960311295,632,443864
1622960312285,627,444496
1622960312912,628,445123
1622960313284,621,445751
1622960313905,616,446372
1622960314270,621,446988
1622960315262,624,447609
1622960315886,629,448233
1622960316245,631,448862
1622960317240,631,449493
1622960317871,640,450124
1622960318225,634,450764
1622960318859,630,451398
1622960319215,626,452028
1622960321202,628,452654
1622960321830,627,453282
1622960321234,625,453909
1622960323176,614,454534
1622960323790,613,455148
1622960323200,612,455761
1622960323812,607,456373
1622960324167,608,456980
1622960325153,602,457588
1622960325755,604,458190
1622960326151,601,458794
1622960326752,594,459395
1622960327149,588,459989
1622960328633,586,460577
1622960329219,594,461163
1622960329127,596,461757
1622960329723,594,462353
1622960330109,602,462947
1622960331106,607,463549
1622960331713,615,464156
1622960332089,614,464771
1622960332703,608,465385
1622960333091,615,465993
1622960334069,617,466608
1622960334686,615,467225
1622960335054,614,467840
1622960335668,610,468454
1622960336049,615,469064
1622960337047,609,469679
1622960337656,604,470288
1622960338028,599,470892
1622960338627,601,471491
1622960339030,602,472092
1622960340006,598,472694
1622960340604,438,473292
1622960341008,684,473730
1622960341692,597,474414
1622960342488,581,475011
1622960343491,578,475592
1622960344069,575,476170
1622960344483,580,476745
1622960345063,587,477325
1622960345475,498,477912
1622960345973,672,478410
1622960346452,593,479082
1622960347448,595,479675
1622960348043,596,480270
1622960348431,603,480866
1622960349034,602,481469
1622960349449,601,482071
1622960350415,601,482672
1622960351016,604,483273
1622960351412,607,483877
1622960352019,608,484484
1622960352389,604,485092
1622960353390,604,485696
1622960353994,606,486300
1622960354372,600,486906
1622960354972,596,487506
1622960355369,588,488102
1622960356341,586,488690
1622960356927,584,489276
1622960357348,576,489860
1622960357924,577,490436
1622960358322,579,491013
1622960359308,587,491592
1622960359895,593,492179
1622960360309,588,492772
1622960360897,589,493360
1622960361307,593,493949
1622960362291,591,494542
1622960362882,588,495133
1622960363288,581,495721
1622960363869,581,496302
1622960364268,579,496883
1622960364847,580,497462
1622960365269,576,498042
1622960366241,565,498618
1622960366806,563,499183
1622960367252,563,499746
1622960367815,566,500309
1622960368734,563,500875
1622960369297,567,501438
1622960369231,570,502005
1622960369801,571,502575
1622960371207,573,503146
1622960371308,572,503719
1622960371880,570,504291
1622960373186,576,504861
1622960373762,581,505437
1622960373233,585,506018
1622960374177,583,506603
1622960374760,577,507186
1622960375152,570,507763
1622960375722,574,508333
1622960376155,572,508907
1622960376727,575,509479
1622960377147,571,510054
1622960378152,569,510625
1622960378721,571,511194
1622960379134,564,511765
1622960379698,572,512329
1622960380106,571,512901
1622960380677,576,513472
1622960381092,583,514048
1622960382092,589,514631
1622960382681,593,515220
1622960383074,589,515813
1622960383663,592,516402
1622960384062,598,516994
1622960385055,602,517592
1622960385657,600,518194
1622960386052,604,518794
1622960386656,603,519398
1622960387048,602,520001
1622960388023,599,520603
1622960388622,599,521202
1622960389008,603,521801
1622960389611,604,522404
1622960390024,598,523008
1622960391483,598,523606
1622960392081,602,524204
1622960392472,607,524806
1622960393079,606,525413
1622960393471,606,526019
1622960394467,610,526625
1622960395077,609,527235
1622960395449,616,527844
1622960396065,610,528460
1622960396452,608,529070
1622960397435,611,529678
1622960398046,594,530289
1622960398412,598,530883
1622960399010,583,531481
1622960399415,582,532064
1622960400395,581,532646
1622960400976,576,533227
1622960401391,573,533803
1622960401964,558,534376
1622960402387,563,534934
1622960402950,565,535497
1622960403370,561,536062
1622960403931,555,536623
1622960404367,552,537178
1622960405341,553,537730
1622960405894,551,538283
1622960406349,548,538834
1622960406897,544,539382
1622960407328,549,539926
1622960407877,553,540475
1622960408328,558,541028
1622960408886,556,541586
1622960409309,565,542142
1622960410309,577,542707
1622960410886,573,543284
1622960411285,574,543857
1622960411859,580,544431
1622960412290,592,545011
1622960413263,589,545603
1622960413852,589,546192
1622960414266,581,546781
1622960414847,578,547362
1622960415266,576,547940
1622960415842,567,548516
1622960416249,563,549083
1622960417231,565,549646
1622960417796,561,550211
1622960418225,562,550772
1622960418787,568,551334
1622960419210,581,551902
1622960419791,578,552483
1622960421190,587,553061
1622960421237,584,553648
1622960421821,588,554232
1622960423171,596,554820
1622960423767,602,555416
