timestamp,heartrate,rmssd,sdnn,alpha1,filtered,samples,droppedPercent
1622965216638,,19,,1.37,3,143,2
1622965217604,,19,,1.37,3,143,2
1622965218569,,19,,1.37,3,143,2
1622965220384,,19,,1.37,3,143,2
1622965220548,,19,,1.37,3,143,2
1622965221546,,18,,1.37,2,144,2
1622965222575,,19,,1.37,2,145,1
1622965223572,,19,,1.37,2,144,1
1622965224554,,19,,1.37,2,144,1
1622965225536,,19,,1.37,2,143,1
1622965227329,,19,,1.37,2,144,1
1622965227466,,19,,1.37,2,144,1
1622965229438,,19,,1.45,2,143,1
1622965229457,,19,,1.45,2,144,1
1622965230433,,19,,1.45,2,143,1
1622965232266,,19,,1.45,2,144,1
1622965232422,,19,,1.45,2,144,1
1622965233406,,19,,1.45,2,144,1
1622965234388,,19,,1.45,2,144,1
1622965236194,,19,,1.45,2,144,1
1622965236350,,19,,1.45,2,144,1
1622965237338,,19,,1.45,2,144,1
1622965238320,,19,,1.45,2,144,1
1622965240109,,18,,1.45,2,144,1
1622965240297,,18,,1.45,2,144,1
1622965241296,,18,,1.45,2,144,1
1622965242285,,18,,1.45,2,144,1
1622965244039,,18,,1.45,2,145,1
1622965244736,,18,,1.45,2,143,1
1622965245699,,18,,1.45,2,143,1
1622965247450,,18,,1.45,2,144,1
1622965247748,,18,,1.45,3,143,1
1622965248750,,19,,1.42,3,142,2
1622965249745,,19,,1.42,3,142,2
1622965250719,,19,,1.42,3,142,2
1622965252488,,19,,1.42,3,143,2
1622965252673,,19,,1.42,3,143,2
1622965253661,,19,,1.42,3,142,2
1622965255418,,19,,1.42,3,143,2
1622965255615,,19,,1.42,3,143,2
1622965256598,,19,,1.42,3,143,2
1622965257607,,19,,1.42,3,142,2
1622965259401,,19,,1.42,3,143,2
1622965259612,,19,,1.42,3,143,2
1622965260630,,19,,1.42,3,143,2
1622965261666,,19,,1.42,3,143,2
1622965262654,,19,,1.42,3,142,2
1622965264496,,19,,1.42,3,143,2
1622965264578,,19,,1.42,4,143,2
1622965265543,,20,,1.42,4,143,3
1622965266512,,20,,1.42,4,143,3
1622965268338,,20,,1.42,4,143,3
1622965268541,,20,,1.39,4,143,3
1622965269533,,20,,1.39,4,143,3
1622965270539,,20,,1.39,4,143,3
1622965271594,,20,,1.39,5,141,3
1622965272592,,21,,1.39,5,141,4
1622965274422,,21,,1.39,5,142,4
1622965274471,,21,,1.39,6,141,4
1622965275444,,21,,1.39,6,141,4
1622965277141,,21,,1.39,6,141,4
1622965277430,,21,,1.39,5,142,4
1622965278368,,21,,1.39,5,142,4
1622965280269,,21,,1.39,5,142,4
1622965280362,,21,,1.39,5,142,4
1622965281367,,20,,1.39,5,142,4
1622965283140,,20,,1.39,4,144,4
1622965283353,,19,,1.39,4,144,3
1622965284354,,19,,1.39,4,144,3
1622965285351,,19,,1.39,4,143,3
1622965286342,,19,,1.39,4,143,3
1622965287345,,19,,1.39,4,143,3
1622965289273,,20,,1.5,5,143,3
1622965289429,,20,,1.5,5,142,3
1622965290424,,20,,1.5,5,142,4
1622965291403,,20,,1.5,5,142,4
1622965292383,,20,,1.5,5,142,4
1622965293866,,20,,1.5,5,140,4
1622965294859,,20,,1.5,5,140,4
1622965295841,,20,,1.5,5,140,4
1622965296827,,20,,1.5,5,139,4
1622965298667,,20,,1.5,5,140,4
1622965298799,,20,,1.5,5,140,4
1622965299808,,20,,1.5,5,140,4
1622965300794,,20,,1.5,5,139,4
1622965301744,,20,,1.5,5,139,4
1622965302724,,20,,1.5,5,139,4
